rank	gene	longname	N	nnei	nncd	nsil	nmis	nstp	nspl	nind	n	npat	nsite	pCV	pCL	pFN	p	q
9013	FXC1	fracture callus 1 homolog (rat)	860	629	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9014	FXN	frataxin	693	678	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9015	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)	307	200	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9016	FXYD2	FXYD domain containing ion transport regulator 2	539	51	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9017	FXYD3	FXYD domain containing ion transport regulator 3	636	4	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9018	FXYD4	FXYD domain containing ion transport regulator 4	298	183	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9019	FXYD5	FXYD domain containing ion transport regulator 5	592	200	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9020	FXYD6	FXYD domain containing ion transport regulator 6	316	475	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9021	FXYD7	FXYD domain containing ion transport regulator 7	462	8	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9022	FYB	FYN binding protein (FYB-120/130)	2562	36	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9023	FYCO1	FYVE and coiled-coil domain containing 1	5521	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9024	FYN	FYN oncogene related to SRC, FGR, YES	1818	66	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9025	FYTTD1	forty-two-three domain containing 1	1016	22	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9026	FZD1	frizzled homolog 1 (Drosophila)	1944	113	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9027	FZD2	frizzled homolog 2 (Drosophila)	1698	26	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9028	FZD3	frizzled homolog 3 (Drosophila)	2021	24	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9029	FZD4	frizzled homolog 4 (Drosophila)	1618	230	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9030	FZD5	frizzled homolog 5 (Drosophila)	1758	3	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9031	FZD6	frizzled homolog 6 (Drosophila)	2145	230	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9032	FZD7	frizzled homolog 7 (Drosophila)	1727	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9033	FZD8	frizzled homolog 8 (Drosophila)	2087	261	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9034	FZD9	frizzled homolog 9 (Drosophila)	1776	175	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9035	G0S2	G0/G1switch 2	316	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9036	G2E3	G2/M-phase specific E3 ubiquitin protein ligase	2177	227	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9037	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	1449	17	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9038	G6PC2	glucose-6-phosphatase, catalytic, 2	1086	43	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9039	G6PC3	glucose 6 phosphatase, catalytic, 3	1061	27	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9040	G6PD	glucose-6-phosphate dehydrogenase	1701	10	0	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9041	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	3008	7	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9042	GAB2	GRB2-associated binding protein 2	2069	105	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9043	GAB4	GRB2-associated binding protein family, member 4	1761	39	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9044	GABARAP	GABA(A) receptor-associated protein	518	81	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9045	GABARAPL1	GABA(A) receptor-associated protein like 1	366	334	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9046	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	3115	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9047	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	1403	109	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9048	GABPB2	GA binding protein transcription factor, beta subunit 2	1377	169	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9049	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1	1407	240	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9050	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	1392	206	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9051	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	1515	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9052	GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4	1697	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9053	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2	1575	100	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9054	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	1538	0	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9055	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	1555	3	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9056	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	1430	474	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9057	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	1359	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9058	GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1	1476	193	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9059	GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2	1507	220	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9060	GABRR3	gamma-aminobutyric acid (GABA) receptor, rho 3	1435	91	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9061	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	1888	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9062	GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	1822	27	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9063	GADD45A	growth arrest and DNA-damage-inducible, alpha	510	294	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9064	GADD45B	growth arrest and DNA-damage-inducible, beta	495	24	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9065	GADD45G	growth arrest and DNA-damage-inducible, gamma	492	0	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9066	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	677	227	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9067	GADL1	glutamate decarboxylase-like 1	1624	81	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9068	GAGE1	G antigen 1	465	1	2	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9069	GAGE10	G antigen 10	369	74	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9070	GAGE12F	G antigen 12F	1064	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9071	GAGE12I	G antigen 12I	375	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9072	GAGE12J	G antigen 12J	372	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9073	GAGE2A	G antigen 2A	1486	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9074	GAGE2B	G antigen 2B	368	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9075	GAGE2C	G antigen 2C	1485	118	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9076	GAGE2D	G antigen 2D	1115	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9077	GAGE2E	G antigen 2E	1225	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9078	GAGE4	G antigen 4	375	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9079	GAGE5	G antigen 5	375	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9080	GAGE7	G antigen 7	375	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9081	GAGE8	G antigen 8	1227	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9082	GAK	cyclin G associated kinase	4044	11	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9083	GAL	galanin prepropeptide	390	56	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9084	GAL3ST2	galactose-3-O-sulfotransferase 2	1209	632	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9085	GAL3ST3	galactose-3-O-sulfotransferase 3	1300	156	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9086	GAL3ST4	galactose-3-O-sulfotransferase 4	1579	296	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9087	GALC	galactosylceramidase	2185	36	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9088	GALE	UDP-galactose-4-epimerase	1178	150	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9089	GALK1	galactokinase 1	1209	57	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9090	GALK2	galactokinase 2	1535	17	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9091	GALM	galactose mutarotase (aldose 1-epimerase)	1053	303	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9092	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	1673	286	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9093	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	1722	135	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9094	GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	1856	28	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9095	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	1871	212	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9096	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	1782	162	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9097	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	1715	340	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9098	GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	1778	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9099	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1938	84	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9100	GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	1829	126	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9101	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	2861	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9102	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	2020	147	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9103	GALNT8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)	1956	313	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9104	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	1852	416	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9105	GALNTL1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	1737	278	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9106	GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	1956	75	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9107	GALNTL4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4	1864	336	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9108	GALNTL5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5	1364	24	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9109	GALNTL6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	1850	75	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9110	GALP	galanin-like peptide	371	524	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9111	GALR1	galanin receptor 1	1058	86	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9112	GALR2	galanin receptor 2	1180	136	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9113	GAMT	guanidinoacetate N-methyltransferase	973	201	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9114	GAN	giant axonal neuropathy (gigaxonin)	1834	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9115	GANC	glucosidase, alpha; neutral C	3040	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9116	GAP43	growth associated protein 43	865	13	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9117	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	1040	229	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9118	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1267	97	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9119	GAPT	GRB2-binding adaptor protein, transmembrane	474	84	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9120	GAR1	GAR1 ribonucleoprotein homolog (yeast)	678	466	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9121	GARS	glycyl-tRNA synthetase	2284	44	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9122	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	3198	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9123	GAS1	growth arrest-specific 1	1038	0	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9124	GAS2	growth arrest-specific 2	972	117	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9125	GAS2L1	growth arrest-specific 2 like 1	2069	77	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9126	GAS2L3	growth arrest-specific 2 like 3	2119	195	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9127	GAS6	growth arrest-specific 6	2093	110	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9128	GAS7	growth arrest-specific 7	1537	371	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9129	GAS8	growth arrest-specific 8	1561	56	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9130	GAST	gastrin	316	19	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9131	GATA1	GATA binding protein 1 (globin transcription factor 1)	1262	564	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9132	GATA2	GATA binding protein 2	1463	864	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9133	GATA4	GATA binding protein 4	1349	363	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9134	GATA5	GATA binding protein 5	1218	76	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9135	GATA6	GATA binding protein 6	1812	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9136	GATAD1	GATA zinc finger domain containing 1	826	503	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9137	GATAD2A	GATA zinc finger domain containing 2A	1946	19	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9138	GATAD2B	GATA zinc finger domain containing 2B	1821	136	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9139	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	805	174	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9140	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	1304	201	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9141	GATS	GATS, stromal antigen 3 opposite strand	3115	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9142	GATSL3	GATS protein-like 3	1164	198	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9143	GBA3	glucosidase, beta, acid 3 (cytosolic)	1428	6	1	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9144	GBAS	glioblastoma amplified sequence	899	223	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9145	GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	2169	343	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9146	GBF1	golgi-specific brefeldin A resistance factor 1	5736	5	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9147	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	1064	509	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9148	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	1819	30	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9149	GBP2	guanylate binding protein 2, interferon-inducible	1816	30	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9150	GBP5	guanylate binding protein 5	1801	214	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9151	GBP6	guanylate binding protein family, member 6	1942	218	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9152	GBP7	guanylate binding protein 7	1957	19	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9153	GBX1	gastrulation brain homeobox 1	1095	574	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9154	GCA	grancalcin, EF-hand calcium binding protein	682	124	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9155	GCC1	GRIP and coiled-coil domain containing 1	2341	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9156	GCET2	germinal center expressed transcript 2	563	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9157	GCFC1	GC-rich sequence DNA-binding factor 1	2938	28	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9158	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	877	54	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9159	GCHFR	GTP cyclohydrolase I feedback regulator	265	90	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9160	GCK	glucokinase (hexokinase 4)	1532	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9161	GCKR	glucokinase (hexokinase 4) regulator	2379	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9162	GCLC	glutamate-cysteine ligase, catalytic subunit	1974	39	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9163	GCLM	glutamate-cysteine ligase, modifier subunit	849	252	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9164	GCM1	glial cells missing homolog 1 (Drosophila)	1327	30	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9165	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	1287	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9166	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	3065	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9167	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	1321	671	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9168	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	1362	710	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9169	GCNT7	glucosaminyl (N-acetyl) transferase family member 7	1327	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9170	GCOM1	myocardial zonula adherens protein	2410	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9171	GCSH	glycine cleavage system protein H (aminomethyl carrier)	540	76	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9172	GDA	guanine deaminase	1417	492	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9173	GDAP1	ganglioside-induced differentiation-associated protein 1	1101	419	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9174	GDAP1L1	ganglioside-induced differentiation-associated protein 1-like 1	1126	999	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9175	GDAP2	ganglioside induced differentiation associated protein 2	1589	146	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9176	GDF1	growth differentiation factor 1	1159	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9177	GDF10	growth differentiation factor 10	1445	18	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9178	GDF11	growth differentiation factor 11	1234	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9179	GDF15	growth differentiation factor 15	933	506	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9180	GDF2	growth differentiation factor 2	1294	349	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9181	GDF3	growth differentiation factor 3	1103	396	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9182	GDF5	growth differentiation factor 5	1510	241	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9183	GDF7	growth differentiation factor 7	1359	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9184	GDF9	growth differentiation factor 9	1623	134	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9185	GDI1	GDP dissociation inhibitor 1	2111	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9186	GDNF	glial cell derived neurotrophic factor	643	36	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9187	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	1111	83	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9188	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	1840	317	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9189	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	997	166	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9190	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	1623	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9191	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	1878	125	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9192	GEFT	Rho guanine nucleotide exchange factor (GEF) 25	2637	20	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9193	GEM	GTP binding protein overexpressed in skeletal muscle	907	425	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9194	GEMIN4	gem (nuclear organelle) associated protein 4	3181	154	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9195	GEMIN5	gem (nuclear organelle) associated protein 5	4639	98	0	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9196	GEMIN6	gem (nuclear organelle) associated protein 6	514	293	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9197	GEMIN7	gem (nuclear organelle) associated protein 7	509	463	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9198	GEMIN8	gem (nuclear organelle) associated protein 8	741	296	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9199	GEN1	Gen homolog 1, endonuclease (Drosophila)	2779	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9200	GET4	golgi to ER traffic protein 4 homolog (S. cerevisiae)	1018	377	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9201	GFAP	glial fibrillary acidic protein	1460	185	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9202	GFER	growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	629	261	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9203	GFI1	growth factor independent 1 transcription repressor	1293	105	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9204	GFM1	G elongation factor, mitochondrial 1	2951	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9205	GFM2	G elongation factor, mitochondrial 2	2740	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9206	GFOD1	glucose-fructose oxidoreductase domain containing 1	1447	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9207	GFPT1	glutamine-fructose-6-phosphate transaminase 1	2118	38	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9208	GFPT2	glutamine-fructose-6-phosphate transaminase 2	2123	126	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9209	GFRA1	GDNF family receptor alpha 1	1434	511	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9210	GFRA2	GDNF family receptor alpha 2	1427	832	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9211	GFRA3	GDNF family receptor alpha 3	1231	477	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9212	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	1908	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9213	GGCT	gamma-glutamylcyclotransferase	579	312	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9214	GGCX	gamma-glutamyl carboxylase	2333	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9215	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	989	515	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9216	GGN	gametogenetin	1970	37	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9217	GGNBP2	gametogenetin binding protein 2	2142	53	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9218	GGPS1	geranylgeranyl diphosphate synthase 1	921	160	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9219	GGT5	gamma-glutamyltransferase 5	1808	141	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
9220	GGT6	gamma-glutamyltransferase 6	1496	706	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
